Date,"Poondi
Inflow
Total","Poondi
Inflow
Catchment","Poondi
Inflow
KP Canal","Poondi
Outflow
Total","Poondi
Outflow
Evaporation","Poondi
Outflow
Irrigation","Poondi
Outflow
Dam","Poondi
Outflow
Link Canal","Poondi
Outflow
Baby Canal","Cholavaram
Inflow
Total","Cholavaram
Inflow
Catchment","Cholavaram
Inflow
U.S. Channel","Cholavaram
Outflow
Total","Cholavaram
Outflow
Evaporation","Cholavaram
Outflow
Irrigation","Cholavaram
Outflow
Dam","Cholavaram
Outflow
L.S. Channel","Redhills
Inflow
Total","Redhills
Inflow
Catchment","Redhills
Inflow
Feeder canal","Redhills
Inflow
Cholavaram","Redhills
Outflow
Total","Redhills
Outflow
Evaporation","Redhills
Outflow
Irrigation","Redhills
Outflow
Dam","Redhills
Outflow
Metro","Chembarambakkam
Inflow
Total","Chembarambakkam
Inflow
Catchment","Chembarambakkam
Inflow
Link Canal","Chembarambakkam
Outflow
Total","Chembarambakkam
Outflow
Evaporation","Chembarambakkam
Outflow
Irrigation","Chembarambakkam
Outflow
Dam","Chembarambakkam
Outflow
Metro","Chembarambakkam
Outflow
Sipcot","Veeranam
Inflow
Total","Veeranam
Inflow
Catchment","Veeranam
Inflow
Vadavar","Veeranam
Outflow
Total","Veeranam
Outflow
Evaporation","Veeranam
Outflow
Irrigation","Veeranam
Outflow
Dam","Veeranam
Outflow
CMWSSB","Veeranam
Outflow
VNSS","ThervoyKandigai
Inflow
Total","ThervoyKandigai
Inflow
Catchment","ThervoyKandigai
Inflow
From Kandaleru","ThervoyKandigai
Outflow
Total","ThervoyKandigai
Outflow
Evaporation","ThervoyKandigai
Outflow
Irrigation","ThervoyKandigai
Outflow
Dam","ThervoyKandigai
Outflow
To Poondi"
01-Jan-22,1117,1117,0,1117,35,0,744,324,14,1261,1261,0,1365,15,0,1350,0,2731,2531,200,0,3191,43,0,3000,148,895,800,95,1150,40,0,1000,107,3,310,0,310,62,0,0,0,62,0,175,175,0,175,0,0,175,0
02-Jan-22,1117,1117,0,1117,35,0,744,324,14,622,622,0,865,15,0,850,0,629,629,0,0,1194,43,0,1000,151,900,805,95,1147,40,0,1000,104,3,1163,958,205,350,0,0,0,61,289,216,216,0,216,0,0,216,0
03-Jan-22,1117,1117,0,1117,35,0,744,324,14,161,161,0,265,15,0,250,0,235,235,0,0,687,43,0,500,144,495,400,95,646,40,0,500,103,3,1200,835,365,355,0,0,0,62,293,188,188,0,188,0,0,188,0
04-Jan-22,1117,1117,0,1117,35,0,744,324,14,154,154,0,15,15,0,0,0,294,294,0,0,294,43,0,100,151,300,205,95,299,40,0,150,106,3,918,105,813,355,0,0,0,62,293,175,175,0,175,0,0,175,0
05-Jan-22,622,622,0,622,35,0,249,324,14,154,154,0,15,15,0,0,0,290,290,0,0,290,43,0,100,147,300,205,95,298,40,0,150,105,3,102,0,102,524,0,0,0,62,462,162,162,0,162,0,0,162,0
06-Jan-22,916,916,0,870,35,0,497,324,14,15,15,0,15,15,0,0,0,290,290,0,0,301,43,0,100,158,300,205,95,300,40,0,150,107,3,102,0,102,665,0,0,0,62,603,125,125,0,125,0,0,125,0
07-Jan-22,624,624,0,624,35,0,249,324,16,15,15,0,15,15,0,0,0,268,268,0,0,303,43,0,100,160,300,205,95,299,40,0,150,106,3,102,0,102,665,0,0,0,62,603,149,149,0,149,0,0,149,0
08-Jan-22,627,627,0,627,35,0,249,324,19,15,15,0,15,15,0,0,0,111,111,0,0,296,43,0,100,153,95,0,95,299,40,0,150,106,3,54,0,54,602,0,141,0,62,399,149,149,0,149,0,0,149,0
09-Jan-22,622,622,0,622,35,0,249,324,14,15,15,0,15,15,0,0,0,111,111,0,0,289,43,0,100,146,185,90,95,297,40,0,150,104,3,0,0,0,497,0,141,0,62,294,149,149,0,149,0,0,149,0
10-Jan-22,622,622,0,622,35,0,249,324,14,15,15,0,15,15,0,0,0,111,111,0,0,287,43,0,100,144,185,90,95,299,40,0,150,106,3,0,0,0,373,0,191,0,62,120,149,149,0,149,0,0,149,0
